"","permutation","TF","weighted_meanDifference","weighted_CD","TFBS","weighted_Tstat","variance","pvalue"
"993",4,"MA0112.3",-0.000494,0.0633,6904,NA,NA,0.0769230769230769
"994",5,"MA0112.3",-0.00108,0.0314,6904,NA,NA,0.0769230769230769
"995",6,"MA0112.3",-0.000371,0.0275,6904,NA,NA,0.0769230769230769
"996",7,"MA0112.3",-0.00316,0.0685,6904,NA,NA,0.0769230769230769
"997",8,"MA0112.3",0.00229,0.0543,6904,NA,NA,0.0769230769230769
"998",9,"MA0112.3",0.000291,0.027,6904,NA,NA,0.0769230769230769
"999",10,"MA0112.3",-0.00224,0.0514,6904,NA,NA,0.0769230769230769
"1000",11,"MA0112.3",0.00011,0.0905,6904,NA,NA,0.0769230769230769
"1001",12,"MA0112.3",0.00115,0.0406,6904,NA,NA,0.0769230769230769
"1002",0,"MA0113.3",0.0533,0.102,2299,NA,NA,0.0769230769230769
"1003",1,"MA0113.3",-0.01,0.0985,2299,NA,NA,0.0769230769230769
"1004",2,"MA0113.3",0.00675,0.0976,2299,NA,NA,0.0769230769230769
"1005",3,"MA0113.3",0.00644,0.11,2299,NA,NA,0.0769230769230769
"1006",4,"MA0113.3",-0.00095,0.0345,2299,NA,NA,0.0769230769230769
"1007",5,"MA0113.3",-0.00422,0.0719,2299,NA,NA,0.0769230769230769
"1008",6,"MA0113.3",-0.00147,0.0309,2299,NA,NA,0.0769230769230769
"1009",7,"MA0113.3",-0.0117,0.13,2299,NA,NA,0.0769230769230769
"1010",8,"MA0113.3",0.00546,0.0835,2299,NA,NA,0.0769230769230769
"1011",9,"MA0113.3",0.00663,0.0699,2299,NA,NA,0.0769230769230769
"1012",10,"MA0113.3",-0.00548,0.105,2299,NA,NA,0.0769230769230769
"1013",11,"MA0113.3",-0.00686,0.075,2299,NA,NA,0.0769230769230769
"1014",12,"MA0113.3",0.00202,0.0476,2299,NA,NA,0.0769230769230769
"1015",0,"MA0114.4",0.0478,0.0916,3849,NA,NA,0.0769230769230769
"1016",1,"MA0114.4",-0.00801,0.0782,3849,NA,NA,0.0769230769230769
"1017",2,"MA0114.4",0.00277,0.046,3849,NA,NA,0.0769230769230769
"1018",3,"MA0114.4",0.0042,0.0758,3849,NA,NA,0.0769230769230769
"1019",4,"MA0114.4",0.00227,0.0436,3849,NA,NA,0.0769230769230769
"1020",5,"MA0114.4",-0.00183,0.0279,3849,NA,NA,0.0769230769230769
"1021",6,"MA0114.4",-0.00211,0.0466,3849,NA,NA,0.0769230769230769
"1022",7,"MA0114.4",-0.00759,0.0845,3849,NA,NA,0.0769230769230769
"1023",8,"MA0114.4",0.00431,0.0643,3849,NA,NA,0.0769230769230769
"1024",9,"MA0114.4",0.00432,0.0553,3849,NA,NA,0.0769230769230769
"1025",10,"MA0114.4",-0.00017,0.0277,3849,NA,NA,0.0769230769230769
"1026",11,"MA0114.4",-0.00621,0.073,3849,NA,NA,0.0769230769230769
"1027",12,"MA0114.4",0.00226,0.0517,3849,NA,NA,0.0769230769230769
"1028",0,"MA0115.1",-0.0301,0.0559,7274,NA,NA,0.0769230769230769
"1029",1,"MA0115.1",0.0107,0.101,7274,NA,NA,0.0769230769230769
"1030",2,"MA0115.1",-0.00709,0.102,7274,NA,NA,0.0769230769230769
"1031",3,"MA0115.1",-0.000304,0.0303,7274,NA,NA,0.0769230769230769
"1032",4,"MA0115.1",0.00343,0.0661,7274,NA,NA,0.0769230769230769
"1033",5,"MA0115.1",0.00837,0.119,7274,NA,NA,0.0769230769230769
"1034",6,"MA0115.1",-0.00582,0.106,7274,NA,NA,0.0769230769230769
"1035",7,"MA0115.1",0.0046,0.056,7274,NA,NA,0.0769230769230769
"1036",8,"MA0115.1",-0.00295,0.0438,7274,NA,NA,0.0769230769230769
"1037",9,"MA0115.1",0.00703,0.0737,7274,NA,NA,0.0769230769230769
"1038",10,"MA0115.1",0.00262,0.0604,7274,NA,NA,0.0769230769230769
"1039",11,"MA0115.1",0.00261,0.0327,7274,NA,NA,0.0769230769230769
"1040",12,"MA0115.1",0.00369,0.0753,7274,NA,NA,0.0769230769230769
"1041",0,"MA0116.1",0.0765,0.16,5181,NA,NA,0.0769230769230769
"1042",1,"MA0116.1",-0.0179,0.188,5181,NA,NA,0.0769230769230769
"1043",2,"MA0116.1",0.00992,0.159,5181,NA,NA,0.0769230769230769
"1044",3,"MA0116.1",0.0059,0.121,5181,NA,NA,0.0769230769230769
"1045",4,"MA0116.1",-0.000174,0.061,5181,NA,NA,0.0769230769230769
"1046",5,"MA0116.1",-0.00831,0.145,5181,NA,NA,0.0769230769230769
"1047",6,"MA0116.1",0.00132,0.0336,5181,NA,NA,0.0769230769230769
"1048",7,"MA0116.1",-0.0137,0.169,5181,NA,NA,0.0769230769230769
"1049",8,"MA0116.1",0.00915,0.153,5181,NA,NA,0.0769230769230769
"1050",9,"MA0116.1",0.00239,0.0328,5181,NA,NA,0.0769230769230769
"1051",10,"MA0116.1",-0.00317,0.0693,5181,NA,NA,0.0769230769230769
"1052",11,"MA0116.1",-0.00816,0.118,5181,NA,NA,0.0769230769230769
"1053",12,"MA0116.1",0.000481,0.051,5181,NA,NA,0.0769230769230769
"1054",0,"MA0117.2",0.0253,0.0501,4842,NA,NA,0.0769230769230769
"1055",1,"MA0117.2",-0.00505,0.05,4842,NA,NA,0.0769230769230769
"1056",2,"MA0117.2",0.00306,0.0442,4842,NA,NA,0.0769230769230769
"1057",3,"MA0117.2",0.00186,0.032,4842,NA,NA,0.0769230769230769
"1058",4,"MA0117.2",0.000548,0.0243,4842,NA,NA,0.0769230769230769
"1059",5,"MA0117.2",-0.00184,0.0272,4842,NA,NA,0.0769230769230769
"1060",6,"MA0117.2",-0.000296,0.0103,4842,NA,NA,0.0769230769230769
"1061",7,"MA0117.2",-0.00517,0.0564,4842,NA,NA,0.0769230769230769
"1062",8,"MA0117.2",0.00375,0.0559,4842,NA,NA,0.0769230769230769
"1063",9,"MA0117.2",0.00142,0.0193,4842,NA,NA,0.0769230769230769
"1064",10,"MA0117.2",-0.00167,0.0307,4842,NA,NA,0.0769230769230769
"1065",11,"MA0117.2",-0.0027,0.0348,4842,NA,NA,0.0769230769230769
"1066",12,"MA0117.2",0.000759,0.0224,4842,NA,NA,0.0769230769230769
"1067",0,"MA0119.1",0.0243,0.0626,5840,NA,NA,0.0769230769230769
"1068",1,"MA0119.1",-0.00817,0.0993,5840,NA,NA,0.0769230769230769
"1069",2,"MA0119.1",0.0072,0.115,5840,NA,NA,0.0769230769230769
"1070",3,"MA0119.1",0.00415,0.0859,5840,NA,NA,0.0769230769230769
"1071",4,"MA0119.1",-0.00212,0.0493,5840,NA,NA,0.0769230769230769
"1072",5,"MA0119.1",-0.004,0.0738,5840,NA,NA,0.0769230769230769
"1073",6,"MA0119.1",0.00085,0.0251,5840,NA,NA,0.0769230769230769
"1074",7,"MA0119.1",-0.00658,0.0833,5840,NA,NA,0.0769230769230769
"1075",8,"MA0119.1",0.00492,0.0836,5840,NA,NA,0.0769230769230769
"1076",9,"MA0119.1",0.00492,0.0586,5840,NA,NA,0.0769230769230769
"1077",10,"MA0119.1",-0.00353,0.0704,5840,NA,NA,0.0769230769230769
"1078",11,"MA0119.1",-0.0018,0.0451,5840,NA,NA,0.0769230769230769
"1079",12,"MA0119.1",-0.000305,0.0182,5840,NA,NA,0.0769230769230769
"1080",0,"MA0122.3",0.0457,0.0927,2218,NA,NA,0.0769230769230769
"1081",1,"MA0122.3",-0.0126,0.119,2218,NA,NA,0.0769230769230769
"1082",2,"MA0122.3",0.00381,0.0636,2218,NA,NA,0.0769230769230769
