TF	weighted_meanDifference	weighted_CD	TFBS	weighted_Tstat	variance	pvalue	Cohend_factor	pvalueAdj	median.cor.tfs	classification_q0.1	classification_q0.05	classification_q0.01	classification_q0.001	classification_distr_rawP	classification_q0.1_final	classification_q0.05_final	classification_q0.01_final	classification_q0.001_final
MA0669.1	0.0397	0.0711	1508	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0670.1	0.0843	0.164	4365	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0106949499310956	undetermined	undetermined	undetermined	undetermined	0.000000000000000000000000000523331560135082	undetermined	undetermined	undetermined	undetermined
MA0671.1	0.0757	0.151	4040	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0412037050408562	activator	activator	undetermined	undetermined	0.00000000000266187918974536	activator	activator	undetermined	undetermined
MA0672.1	0.0228	0.0439	3524	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0463588845864233	undetermined	undetermined	undetermined	undetermined	0.0000747807536875739	undetermined	undetermined	undetermined	undetermined
MA0673.1	0.00714	0.0143	3024	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0476599577859871	undetermined	undetermined	undetermined	undetermined	0.967251197202991	undetermined	undetermined	undetermined	undetermined
MA0674.1	0.0518	0.0938	5075	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0396514185348586	undetermined	undetermined	undetermined	undetermined	0.000000183338872101806	undetermined	undetermined	undetermined	undetermined
MA0675.1	0.0467	0.0848	5104	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0123934601448371	undetermined	undetermined	undetermined	undetermined	0.819620113376363	undetermined	undetermined	undetermined	undetermined
MA0676.1	0.0795	0.15	2041	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0830683744056455	activator	activator	activator	undetermined	0.00000000000000000000000000000000000000000000000000000269445823244125	activator	activator	activator	undetermined
MA0677.1	-0.0622	0.116	6160	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0639470370354925	activator	activator	activator	undetermined	0.23259567015696	undetermined	undetermined	undetermined	undetermined
MA0678.1	0.0559	0.102	2429	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.153760311577214	repressor	repressor	repressor	repressor	0.000000000000000000000000000000000000000000434860152773892	repressor	repressor	repressor	repressor
MA0679.2	0.106	0.199	1944	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0174659084193628	undetermined	undetermined	undetermined	undetermined	0.975848438459081	undetermined	undetermined	undetermined	undetermined
MA0680.1	0.074	0.137	1521	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.00403948234382441	undetermined	undetermined	undetermined	undetermined	0.999999999999724	undetermined	undetermined	undetermined	undetermined
MA0681.2	0.128	0.243	1086	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0448248965286667	undetermined	undetermined	undetermined	undetermined	0.140342118552746	undetermined	undetermined	undetermined	undetermined
MA0682.2	-0.0663	0.131	5295	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.00698956378866558	undetermined	undetermined	undetermined	undetermined	0.00000000000000000000000000709413159017813	undetermined	undetermined	undetermined	undetermined
MA0683.1	0.0941	0.175	2453	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.157011436732352	repressor	repressor	repressor	repressor	0.000000000000000000000000000104295057944746	repressor	repressor	repressor	repressor
MA0684.2	0.0694	0.137	3178	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0925757577035508	repressor	repressor	repressor	undetermined	0.000363891209685292	repressor	repressor	repressor	undetermined
MA0685.1	-0.0983	0.205	9841	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.041869037580277	undetermined	undetermined	undetermined	undetermined	0.0000961434167822924	undetermined	undetermined	undetermined	undetermined
MA0686.1	0.00311	0.105	7113	NaN	NA	0.307692307692308	2	0.322239365219308	-0.0855749877309897	repressor	repressor	repressor	undetermined	0.000222159833333212	repressor	repressor	repressor	undetermined
MA0687.1	0.0851	0.158	5035	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0688.1	0.0285	0.0607	2991	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0265161903460791	undetermined	undetermined	undetermined	undetermined	0.000499575497817229	undetermined	undetermined	undetermined	undetermined
MA0689.1	0.0601	0.117	3432	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.00179906867091775	undetermined	undetermined	undetermined	undetermined	0.999999823897891	undetermined	undetermined	undetermined	undetermined
MA0690.1	0.0573	0.11	3297	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.00113719520445562	undetermined	undetermined	undetermined	undetermined	0.999998047805631	undetermined	undetermined	undetermined	undetermined
MA0691.1	0.00995	0.0298	4067	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0488101527248798	undetermined	undetermined	undetermined	undetermined	0.208643839752135	undetermined	undetermined	undetermined	undetermined
MA0692.1	-0.0866	0.176	5977	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0125484009679456	undetermined	undetermined	undetermined	undetermined	0.987876903322911	undetermined	undetermined	undetermined	undetermined
MA0693.2	0.0483	0.0988	6107	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0546613836777826	undetermined	undetermined	undetermined	undetermined	0.00000160322501680796	undetermined	undetermined	undetermined	undetermined
MA0694.1	0.062	0.126	9439	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0695.1	0.046	0.094	11252	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.105044572712977	activator	activator	activator	activator	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000420067568409106	activator	activator	activator	activator
MA0696.1	0.00922	0.0746	17151	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0135390010160197	undetermined	undetermined	undetermined	undetermined	0.00000270688697408327	undetermined	undetermined	undetermined	undetermined
MA0697.1	0.00774	0.0616	16078	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0670183258220573	activator	activator	activator	undetermined	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000091225286141658	activator	activator	activator	undetermined
MA0698.1	0.0394	0.083	4176	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.204827527807476	activator	activator	activator	activator	0.000000000000000000000000000000000000000000000000000000000000000000383606408793277	activator	activator	activator	activator
MA0699.1	-0.0363	0.0707	5394	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0384503376357163	undetermined	undetermined	undetermined	undetermined	0.995237374339083	undetermined	undetermined	undetermined	undetermined
MA0700.2	-0.00945	0.0212	5253	NaN	NA	0.153846153846154	1	0.164417453891138	0.0216191463383749	undetermined	undetermined	undetermined	undetermined	0.0000000000000000000000000000000000000000000000000000000000000000000000000000865616601500487	undetermined	undetermined	undetermined	undetermined
MA0701.2	0.0126	0.0591	3178	NaN	NA	0.153846153846154	1	0.164417453891138	0.00207211043969738	undetermined	undetermined	undetermined	undetermined	0.000000000332199574014598	undetermined	undetermined	undetermined	undetermined
MA0702.2	0.0627	0.114	3398	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.00103077445123122	undetermined	undetermined	undetermined	undetermined	0.996937671315836	undetermined	undetermined	undetermined	undetermined
MA0703.2	0.0881	0.164	2061	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0801274725508838	repressor	repressor	repressor	undetermined	0.000192807194408521	repressor	repressor	repressor	undetermined
MA0705.1	-0.0332	0.075	3871	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.133988961100809	repressor	repressor	repressor	repressor	0.000000000000000000000000996699755975961	repressor	repressor	repressor	repressor
MA0706.1	0.0238	0.0524	5393	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0983473985843645	repressor	repressor	repressor	repressor	0.0000000000000000403148418862857	repressor	repressor	repressor	repressor
MA0707.1	0.062	0.117	3378	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0736904982567714	repressor	repressor	undetermined	undetermined	0.673646410630684	undetermined	undetermined	undetermined	undetermined
MA0708.1	-0.0165	0.0463	5493	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.105566872380912	repressor	repressor	repressor	repressor	0.000000000000000752983340152492	repressor	repressor	repressor	repressor
MA0709.1	-0.0172	0.048	3914	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0710.1	-0.0388	0.0752	5382	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0685738762059598	activator	activator	activator	undetermined	0.0000000000000000000010584810089694	activator	activator	activator	undetermined
MA0711.1	-0.0561	0.115	6695	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.158160048718613	activator	activator	activator	activator	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000136462691794803	activator	activator	activator	activator
MA0712.2	-0.0791	0.151	8157	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.12410246568572	activator	activator	activator	activator	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000497467070456046	activator	activator	activator	activator
MA0713.1	0.0473	0.0889	2009	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0714.1	-0.0758	0.147	7119	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0715.1	0.0645	0.119	1571	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0716.1	0.0275	0.0607	3853	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.126006647129303	repressor	repressor	repressor	repressor	0.0000000000000000534406043038981	repressor	repressor	repressor	repressor
MA0717.1	-0.0172	0.048	3914	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0159108606366698	undetermined	undetermined	undetermined	undetermined	0.000000000000000000000000000000000000000000000000320432372011604	undetermined	undetermined	undetermined	undetermined
MA0718.1	-0.0177	0.0403	5464	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0299642983142532	activator	undetermined	undetermined	undetermined	0.00000000000000000000000000000000000000404735694003319	activator	undetermined	undetermined	undetermined
MA0719.1	0.00776	0.037	3012	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0720.1	-0.0172	0.048	3914	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.078693488533542	repressor	repressor	undetermined	undetermined	0.00000841817353393549	repressor	repressor	undetermined	undetermined
MA0721.1	0.0275	0.0607	3853	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0257069536294067	undetermined	undetermined	undetermined	undetermined	0.999999999869132	undetermined	undetermined	undetermined	undetermined
MA0722.1	0.000837	0.0386	4167	NaN	NA	0.923076923076923	1	0.924341412012645	-0.00511378830290044	undetermined	undetermined	undetermined	undetermined	0.669394510176707	undetermined	undetermined	undetermined	undetermined
MA0723.1	0.000837	0.0386	4167	NaN	NA	0.923076923076923	1	0.924341412012645	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0724.1	-0.0102	0.0333	5967	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0725.1	-0.0332	0.075	3871	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0202725909816853	undetermined	undetermined	undetermined	undetermined	1	undetermined	undetermined	undetermined	undetermined
MA0726.1	-0.0332	0.075	3871	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.029430563245504	undetermined	undetermined	undetermined	undetermined	0.999999991138094	undetermined	undetermined	undetermined	undetermined
MA0727.1	0.05	0.0967	2442	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0761372711974928	activator	activator	activator	undetermined	0.000896157929567217	activator	activator	activator	undetermined
MA0728.1	-0.0296	0.0591	7813	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0729.1	-0.0306	0.0582	3595	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.080807404323107	repressor	repressor	repressor	undetermined	0.000000000000000000000168926216497231	repressor	repressor	repressor	undetermined
MA0730.1	-0.0355	0.098	5716	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0731.1	0.0709	0.132	3422	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0732.1	-0.0352	0.0775	12077	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0870353516291799	repressor	repressor	repressor	undetermined	0.00750537867518214	repressor	repressor	repressor	undetermined
MA0733.1	-0.023	0.0602	10493	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0538150325258435	activator	activator	undetermined	undetermined	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016590556833163	activator	activator	undetermined	undetermined
MA0734.2	0.0475	0.0998	8599	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.00427903670109249	undetermined	undetermined	undetermined	undetermined	0.000000000000515698285600832	undetermined	undetermined	undetermined	undetermined
MA0735.1	0.0518	0.106	8591	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.057659454217891	undetermined	undetermined	undetermined	undetermined	0.00000000000000000000000000000000000000000000000166566161839477	undetermined	undetermined	undetermined	undetermined
MA0736.1	0.0569	0.118	11595	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0770836777096444	activator	activator	activator	undetermined	0.0000000000000000000000000000000000000000000000000000000058234314897804	activator	activator	activator	undetermined
MA0737.1	0.0793	0.166	5967	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0434863303210364	undetermined	undetermined	undetermined	undetermined	0.00737946057347146	undetermined	undetermined	undetermined	undetermined
MA0738.1	0.102	0.21	7739	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0183411974942578	undetermined	undetermined	undetermined	undetermined	0.00000000000000564950360048185	undetermined	undetermined	undetermined	undetermined
MA0739.1	0.0717	0.144	5740	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.034412183073641	activator	undetermined	undetermined	undetermined	0.728344600460063	undetermined	undetermined	undetermined	undetermined
MA0740.1	-0.103	0.215	8546	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0741.1	-0.0963	0.227	6274	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0742.1	-0.114	0.238	6726	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0898536996146237	repressor	repressor	repressor	undetermined	0.0000000000000000000000000000000160692338279058	repressor	repressor	repressor	undetermined
MA0743.2	-0.0113	0.0962	4584	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0744.2	-0.0126	0.0945	5383	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0810918832910384	repressor	repressor	repressor	undetermined	0.000000011793050133765	repressor	repressor	repressor	undetermined
MA0745.2	0.0216	0.107	6115	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0783385887543538	repressor	repressor	undetermined	undetermined	0.00000000577007391812887	repressor	repressor	undetermined	undetermined
MA0746.2	-0.11	0.231	7517	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0432940556187233	undetermined	undetermined	undetermined	undetermined	0.0000000267755878295005	undetermined	undetermined	undetermined	undetermined
MA0747.1	-0.109	0.26	5831	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.126491271674794	repressor	repressor	repressor	repressor	0.000000000314543868503069	repressor	repressor	repressor	repressor
MA0748.2	-0.0452	0.0941	16521	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0743954358884782	repressor	repressor	undetermined	undetermined	0.0000000000000000000000000000000000000000000000000000000104147396512367	repressor	repressor	undetermined	undetermined
MA0749.1	0.0036	0.0586	1605	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0557013933706499	activator	activator	undetermined	undetermined	0.0000000446909453097447	activator	activator	undetermined	undetermined
MA0750.2	-0.0141	0.0507	15036	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.063804655481792	repressor	repressor	undetermined	undetermined	0.000000145771278519347	repressor	repressor	undetermined	undetermined
MA0751.1	0.00525	0.0577	17378	NaN	NA	0.307692307692308	1	0.322239365219308	0.00354266595725219	undetermined	undetermined	undetermined	undetermined	0.287399346691448	undetermined	undetermined	undetermined	undetermined
MA0752.1	0.0613	0.12	4179	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0165696868061261	undetermined	undetermined	undetermined	undetermined	0.283438321431106	undetermined	undetermined	undetermined	undetermined
MA0753.2	-0.0109	0.172	897	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.184163239685397	activator	activator	activator	activator	0.000000000000112436991781369	activator	activator	activator	activator
MA0754.1	0.0346	0.0662	2549	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.15842024956303	activator	activator	activator	activator	0.00000000000000000000000237511679027931	activator	activator	activator	activator
MA0755.1	0.0506	0.0921	2158	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0858639981225094	repressor	repressor	repressor	undetermined	0.00000000000000538054193621196	repressor	repressor	repressor	undetermined
MA0756.1	0.0995	0.185	2193	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0925903182035551	repressor	repressor	repressor	undetermined	0.0000000000000000000000302609685282802	repressor	repressor	repressor	undetermined
MA0757.1	0.109	0.209	1782	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.105979767255273	repressor	repressor	repressor	repressor	0.000000121224135510034	repressor	repressor	repressor	repressor
MA0758.1	0.087	0.167	4232	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.048913280395187	activator	activator	undetermined	undetermined	0.0000000000000000000000000000153990429465686	activator	activator	undetermined	undetermined
MA0759.1	-0.0398	0.215	5874	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.22312184809417	activator	activator	activator	activator	0.000000000000000000000000000000000000000000000000000000000000486318838872227	activator	activator	activator	activator
MA0760.1	-0.0183	0.148	8849	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0761.2	0.0139	0.0968	5429	NaN	NA	0.153846153846154	1	0.164417453891138	0.113610034947603	activator	activator	activator	activator	0.000000000000000000000000000000000000308477454079114	activator	activator	activator	activator
MA0762.1	-0.00856	0.175	5132	NaN	NA	0.461538461538462	2	0.479239510489511	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0763.1	-0.0313	0.185	6551	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0506652430266216	undetermined	undetermined	undetermined	undetermined	0.000000000423049812361157	undetermined	undetermined	undetermined	undetermined
MA0764.2	0.0159	0.0463	9135	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0706959515822207	activator	activator	activator	undetermined	0.000000000600055518206947	activator	activator	activator	undetermined
MA0765.2	-0.0372	0.14	8531	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.155456573595225	repressor	repressor	repressor	repressor	0.00000000000000000000000000000000000000000000000000000000000536149045827981	repressor	repressor	repressor	repressor
MA0766.2	0.00251	0.0191	5781	NaN	NA	0.692307692307692	1	0.710782195332757	-0.0131309919341883	undetermined	undetermined	undetermined	undetermined	0.999947238159703	undetermined	undetermined	undetermined	undetermined
MA0767.1	0.0617	0.126	8182	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0768.1	-0.00661	0.0144	6007	NaN	NA	0.153846153846154	1	0.164417453891138	0.120792594544313	activator	activator	activator	activator	0.0000000000000000000000000000000000000000000000000000000000000000000000016592078368635	activator	activator	activator	activator
MA0769.2	-0.0441	0.0838	5668	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.127480288845589	repressor	repressor	repressor	repressor	0.0000000000000000000000344203070331008	repressor	repressor	repressor	repressor
MA0770.1	0.118	0.219	3285	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0457781496508798	activator	activator	undetermined	undetermined	0.0000891818743786822	activator	activator	undetermined	undetermined
MA0771.1	0.117	0.22	3437	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0772.1	0.104	0.194	2035	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0903754324121216	repressor	repressor	repressor	undetermined	0.0273384314231016	repressor	repressor	repressor	undetermined
MA0773.1	0.133	0.25	2629	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.178333724040755	repressor	repressor	repressor	repressor	0.000000000000000000000000000000339144522369467	repressor	repressor	repressor	repressor
MA0774.1	-0.0343	0.0654	4862	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0618741901142364	activator	activator	undetermined	undetermined	0.000000000000000000000000000000000000000000000442695044199216	activator	activator	undetermined	undetermined
MA0775.1	-0.0262	0.0557	3390	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0776.1	0.0582	0.123	3356	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.023407427844143	undetermined	undetermined	undetermined	undetermined	0.0000000244917816216288	undetermined	undetermined	undetermined	undetermined
MA0777.1	0.0555	0.108	3800	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0495432238594662	activator	activator	undetermined	undetermined	0.963811031525938	undetermined	undetermined	undetermined	undetermined
MA0778.1	0.108	0.225	4770	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0913202693007188	activator	activator	activator	activator	0.0000000000000739381817501706	activator	activator	activator	activator
MA0779.1	-0.0572	0.134	6970	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0213242913999635	undetermined	undetermined	undetermined	undetermined	0.935591748009568	undetermined	undetermined	undetermined	undetermined
MA0780.1	0.0789	0.146	1387	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.107617430267394	activator	activator	activator	activator	0.0000528200497321711	activator	activator	activator	activator
MA0781.1	-0.047	0.126	7326	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0634226714698661	activator	activator	activator	undetermined	0.000000000000000000000000000288123032344476	activator	activator	activator	undetermined
MA0782.2	-0.0584	0.171	8318	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0358851692373281	activator	undetermined	undetermined	undetermined	0.000000000992153548043947	activator	undetermined	undetermined	undetermined
MA0783.1	-0.0482	0.105	5021	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0364888125936639	activator	undetermined	undetermined	undetermined	0.988845333350274	undetermined	undetermined	undetermined	undetermined
MA0784.1	0.031	0.0775	3543	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0785.1	0.0348	0.0775	3102	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0383324088176465	activator	activator	undetermined	undetermined	0.00000000244584592791667	activator	activator	undetermined	undetermined
MA0786.1	0.0414	0.0878	3362	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0764534093926127	repressor	repressor	undetermined	undetermined	0.0000000225018476896176	repressor	repressor	undetermined	undetermined
MA0787.1	0.0306	0.0679	3434	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0788.1	0.0712	0.132	2902	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0806448576758946	repressor	repressor	repressor	undetermined	0.0000000000018856640014261	repressor	repressor	repressor	undetermined
MA0789.1	0.0344	0.0803	2988	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.173046308167882	repressor	repressor	repressor	repressor	0.000000000000000000000000000000000257929847235021	repressor	repressor	repressor	repressor
MA0790.1	0.101	0.184	2477	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.000655093925344885	undetermined	undetermined	undetermined	undetermined	0.0000156910380026879	undetermined	undetermined	undetermined	undetermined
MA0791.1	0.0965	0.178	2553	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0502312306467073	undetermined	undetermined	undetermined	undetermined	0.131224860258789	undetermined	undetermined	undetermined	undetermined
MA0792.1	0.0363	0.0881	2466	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0793.1	0.00299	0.0112	2890	NaN	NA	0.923076923076923	1	0.924341412012645	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0794.1	0.0477	0.0902	2799	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.046194900669884	undetermined	undetermined	undetermined	undetermined	0.0120698888116202	undetermined	undetermined	undetermined	undetermined
MA0795.1	0.0356	0.0826	3199	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0422407494501464	activator	activator	undetermined	undetermined	0.00117062694201672	activator	activator	undetermined	undetermined
MA0796.1	-0.0523	0.112	4436	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0719416024445869	repressor	repressor	undetermined	undetermined	0.0000000617363513995345	repressor	repressor	undetermined	undetermined
MA0797.1	-0.0519	0.112	4017	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0136653560594364	undetermined	undetermined	undetermined	undetermined	0.000252547531158528	undetermined	undetermined	undetermined	undetermined
MA0798.2	-0.119	0.232	7419	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0881795866019081	repressor	repressor	repressor	undetermined	0.00000000000000265524008101667	repressor	repressor	repressor	undetermined
MA0799.1	-0.148	0.288	6675	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0474918149539597	undetermined	undetermined	undetermined	undetermined	0.0000000000000000000113998091158158	undetermined	undetermined	undetermined	undetermined
MA0800.1	0.0543	0.103	2831	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.0415057081522803	undetermined	undetermined	undetermined	undetermined	0.974824227289921	undetermined	undetermined	undetermined	undetermined
MA0801.1	0.0371	0.0743	5363	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0799675101675506	repressor	repressor	undetermined	undetermined	0.00000242627624507275	repressor	repressor	undetermined	undetermined
